sequence,level,type,id,name,datatype,multiplicity,semantic_path,syntax_sequence,syntax_path,default_value,transformation,required,note
37,3,A,BT-30,Seller legal registration identifier,Identifier,0..1,$.invoice.seller.sellerLegalRegistrationIdentifier,0000.0035.0004.0013.0002,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,,,,
38,3,A,BT-30-1,Scheme identifier,Identifier,0..1,$.invoice.seller.sellerLegalRegistrationIdentifierSchemeIdentifier,0000.0035.0004.0013.0002.@schemeID,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,,,,
39,3,A,BT-31,Seller VAT identifier,Identifier,0..1,$.invoice.seller.sellerVatIdentifier,0000.0035.0004.0012.0002,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,,,,
40,3,A,BT-32,Seller tax registration identifier,Identifier,0..1,$.invoice.seller.sellerTaxRegistrationIdentifier,0000.0035.0004.0012.0002,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID!='VAT']/cbc:CompanyID,,,,
41,3,A,BT-33,Seller additional legal information,Text,0..1,$.invoice.seller.sellerAdditionalLegalInformation,0000.0035.0004.0013.0006,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm,,,,
42,3,A,BT-34,Seller electronic address,Identifier,0..1,$.invoice.seller.sellerElectronicAddress,0000.0035.0004.0005,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID,,,,
43,3,A,BT-34-1,Scheme identifier,Identifier,1..1,$.invoice.seller.sellerElectronicAddressSchemeIdentifier,0000.0035.0004.0005.@schemeID,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID,,,,
44,3,C,BG-5,Seller postal address,,1..1,$.invoice.seller.sellerPostalAddress,0000.0035.0004.0010,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress,,,,
45,4,A,BT-35,Seller address line 1,Text,0..1,$.invoice.seller.sellerPostalAddress.sellerAddressLine1,0000.0035.0004.0010.0025.0001,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,,,,
46,4,A,BT-36,Seller address line 2,Text,0..1,$.invoice.seller.sellerPostalAddress.sellerAddressLine2,0000.0035.0004.0010.0008,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,,,,
47,4,A,BT-162,Seller address line 3,Text,0..1,$.invoice.seller.sellerPostalAddress.sellerAddressLine3,0000.0035.0004.0010.0025.0001,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,,,,
48,4,A,BT-37,Seller city,Text,1..1,$.invoice.seller.sellerPostalAddress.sellerCity,0000.0035.0004.0010.0018,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName,,,,
49,4,A,BT-38,Seller post code,Text,1..1,$.invoice.seller.sellerPostalAddress.sellerPostCode,0000.0035.0004.0010.0019,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone,,,,
50,4,A,BT-39,Seller country subdivision,Text,0..1,$.invoice.seller.sellerPostalAddress.sellerCountrySubdivision,0000.0035.0004.0010.0020,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,,,,
51,4,A,BT-40,Seller country code,Code,1..1,$.invoice.seller.sellerPostalAddress.sellerCountryCode,0000.0035.0004.0010.0026.0001,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,,,,
52,3,C,BG-6,Seller contact,,0..1,$.invoice.seller.sellerContact,0000.0035.0004.0014,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact,,,,
53,4,A,BT-41,Seller contact point,Text,0..1,$.invoice.seller.sellerContact.sellerContactPoint,0000.0035.0004.0014.0002,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name,,,,
54,4,A,BT-42,Seller contact telephone number,Text,0..1,$.invoice.seller.sellerContact.sellerContactTelephoneNumber,0000.0035.0004.0014.0003,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone,,,,
55,4,A,BT-43,Seller contact email address,Text,0..1,$.invoice.seller.sellerContact.sellerContactEmailAddress,0000.0035.0004.0014.0005,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail,,,,
56,2,C,BG-7,Buyer,,1..1,$.invoice.buyer,0000.0036.0004,/Invoice/cac:AccountingCustomerParty/cac:Party,,,,
57,3,A,BT-44,Buyer name,Text,1..1,$.invoice.buyer.buyerName,0000.0036.0004.0013.0001,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,,,,
58,3,A,BT-45,Buyer trading name,Text,0..1,$.invoice.buyer.buyerTradingName,0000.0036.0004.0008.0001,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name,,,,
59,3,C,,Buyer Identifier,,0..*,$.invoice.buyer.buyerIdentifier,0000.0036.0004.0007,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification,,,,
60,4,A,BT-46,Identifier,Identifier,1..1,$.invoice.buyer.buyerIdentifier.identifier,0000.0036.0004.0007.0001,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID,,,,
61,4,A,BT-46-1,Scheme identifier,Identifier,0..1,$.invoice.buyer.buyerIdentifier.schemeIdentifier,0000.0036.0004.0007.0001.@schemeID,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID,,,,
62,3,A,BT-47,Buyer legal registration identifier,Identifier,0..1,$.invoice.buyer.buyerLegalRegistrationIdentifier,0000.0036.0004.0013.0002,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,,,,
63,3,A,BT-47-1,Scheme identifier,Identifier,0..1,$.invoice.buyer.buyerLegalRegistrationIdentifierSchemeIdentifier,0000.0036.0004.0013.0002.@schemeID,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,,,,
64,3,A,BT-48,Buyer VAT identifier,Identifier,0..1,$.invoice.buyer.buyerVatIdentifier,0000.0036.0004.0012.0002,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,,,,
65,3,A,BT-49,Buyer electronic address,Identifier,0..1,$.invoice.buyer.buyerElectronicAddress,0000.0036.0004.0005,/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID,,,,
66,3,A,BT-49-1,Scheme identifier,Identifier,1..1,$.invoice.buyer.buyerElectronicAddressSchemeIdentifier,0000.0036.0004.0005.@schemeID,/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID,,,,
67,3,C,BG-8,Buyer postal address,,1..1,$.invoice.buyer.buyerPostalAddress,0000.0036.0004.0010,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress,,,,
68,4,A,BT-50,Buyer address line 1,Text,0..1,$.invoice.buyer.buyerPostalAddress.buyerAddressLine1,0000.0036.0004.0010.0025.0001,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,,,,
69,4,A,BT-51,Buyer address line 2,Text,0..1,$.invoice.buyer.buyerPostalAddress.buyerAddressLine2,0000.0036.0004.0010.0008,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,,,,
70,4,A,BT-163,Buyer address line 3,Text,0..1,$.invoice.buyer.buyerPostalAddress.buyerAddressLine3,0000.0036.0004.0010.0025.0001,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,,,,
71,4,A,BT-52,Buyer city,Text,1..1,$.invoice.buyer.buyerPostalAddress.buyerCity,0000.0036.0004.0010.0018,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName,,,,
72,4,A,BT-53,Buyer post code,Text,1..1,$.invoice.buyer.buyerPostalAddress.buyerPostCode,0000.0036.0004.0010.0019,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone,,,,
73,4,A,BT-54,Buyer country subdivision,Text,0..1,$.invoice.buyer.buyerPostalAddress.buyerCountrySubdivision,0000.0036.0004.0010.0020,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,,,,
74,4,A,BT-55,Buyer country code,Code,1..1,$.invoice.buyer.buyerPostalAddress.buyerCountryCode,0000.0036.0004.0010.0026.0001,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,,,,
75,3,C,BG-9,Buyer contact,,0..1,$.invoice.buyer.buyerContact,0000.0036.0004.0014,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact,,,,
76,4,A,BT-56,Buyer contact point,Text,0..1,$.invoice.buyer.buyerContact.buyerContactPoint,0000.0036.0004.0014.0002,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name,,,,
77,4,A,BT-57,Buyer contact telephone number,Text,0..1,$.invoice.buyer.buyerContact.buyerContactTelephoneNumber,0000.0036.0004.0014.0003,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone,,,,
78,4,A,BT-58,Buyer contact email address,Text,0..1,$.invoice.buyer.buyerContact.buyerContactEmailAddress,0000.0036.0004.0014.0005,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail,,,,
79,2,C,BG-10,Payee,,0..1,$.invoice.payee,0000.0037,/Invoice/cac:PayeeParty,,,,
80,3,A,BT-59,Payee name,Text,1..1,$.invoice.payee.payeeName,0000.0037.0008.0001,/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name,,,,
81,3,A,BT-60,Payee identifier,Identifier,0..1,$.invoice.payee.payeeIdentifier,0000.0037.0007.0001,/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID,,,,
82,3,A,BT-60-1,Scheme identifier,Identifier,0..1,$.invoice.payee.payeeIdentifierSchemeIdentifier,0000.0037.0007.0001.@schemeID,/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID,,,,
83,3,A,BT-61,Payee legal registration identifier,Identifier,0..1,$.invoice.payee.payeeLegalRegistrationIdentifier,0000.0037.0013.0002,/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID,,,,
84,3,A,BT-61-1,Scheme identifier,Identifier,0..1,$.invoice.payee.payeeLegalRegistrationIdentifierSchemeIdentifier,0000.0037.0013.0002.@schemeID,/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,,,,
85,2,C,BG-11,Seller tax representative party,,0..1,$.invoice.sellerTaxRepresentativeParty,0000.0040,/Invoice/cac:TaxRepresentativeParty,,,,
86,3,A,BT-62,Seller tax representative name,Text,1..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeName,0000.0040.0008.0001,/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name,,,,
87,3,A,BT-63,Seller tax representative VAT identifier,Identifier,1..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeVatIdentifier,0000.0040.0012.0002,/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID,,,,
88,3,C,BG-12,Seller tax representative postal address,,1..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress,0000.0040.0010,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress,,,,
89,4,A,BT-64,Tax representative address line 1,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine1,0000.0040.0010.0007,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName,,,,
90,4,A,BT-65,Tax representative address line 2,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine2,0000.0040.0010.0008,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName,,,,
91,4,A,BT-164,Tax representative address line 3,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine3,0000.0040.0010.0025.0001,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line,,,,
92,4,A,BT-66,Tax representative city,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCity,0000.0040.0010.0018,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName,,,,
93,4,A,BT-67,Tax representative post code,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativePostCode,0000.0040.0010.0019,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone,,,,
94,4,A,BT-68,Tax representative country subdivision,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountrySubdivision,0000.0040.0010.0020,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity,,,,
95,4,A,BT-69,Tax representative country code,Code,1..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountryCode,0000.0040.0010.0026.0001,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode,,,,
96,2,C,BG-13,Delivery information,,0..1,$.invoice.deliveryInformation,0000.0041,/Invoice/cac:Delivery,,,,
97,3,A,BT-70,Deliver to party name,Text,0..1,$.invoice.deliveryInformation.deliverToPartyName,0000.0041.0018.0008.0001,/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name,,,,
98,3,A,BT-71,Deliver to location identifier,Identifier,0..1,$.invoice.deliveryInformation.deliverToLocationIdentifier,0000.0041.0012.0001,/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID,,,,
99,3,A,BT-71-1,Scheme identifier,Identifier,0..1,$.invoice.deliveryInformation.deliverToLocationIdentifierSchemeIdentifier,0000.0041.0012.0001.@schemeID,/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID,,,,
100,3,A,BT-72,Actual delivery date,Date,0..1,$.invoice.deliveryInformation.actualDeliveryDate,0000.0041.0005,/Invoice/cac:Delivery/cbc:ActualDeliveryDate,,,,
101,2,C,BG-14,Invoicing period,,0..1,$.invoice.invoicingPeriod,0000.0024,/Invoice/cac:InvoicePeriod,,,,
102,3,A,BT-73,Invoicing period start date,Date,0..1,$.invoice.invoicingPeriod.invoicingPeriodStartDate,0000.0024.0001,/Invoice/cac:InvoicePeriod/cbc:StartDate,,,,
103,3,A,BT-74,Invoicing period end date,Date,0..1,$.invoice.invoicingPeriod.invoicingPeriodEndDate,0000.0024.0003,/Invoice/cac:InvoicePeriod/cbc:EndDate,,,,
104,3,C,BG-15,Deliver to address,,0..1,$.invoice.deliveryInformation.deliverToAddress,0000.0041.0012.0010,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address,,,,
105,4,A,BT-75,Deliver to address line 1,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine1,0000.0041.0012.0010.0007,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName,,,,
106,4,A,BT-76,Deliver to address line 2,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine2,0000.0041.0012.0010.0008,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName,,,,
107,4,A,BT-165,Deliver to address line 3,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine3,0000.0041.0012.0010.0025.0001,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line,,,,
108,4,A,BT-77,Deliver to city,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToCity,0000.0041.0012.0010.0018,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName,,,,
109,4,A,BT-78,Deliver to post code,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToPostCode,0000.0041.0012.0010.0019,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone,,,,
110,4,A,BT-79,Deliver to country subdivision,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToCountrySubdivision,0000.0041.0012.0010.0020,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity,,,,
111,4,A,BT-80,Deliver to country code,Code,1..1,$.invoice.deliveryInformation.deliverToAddress.deliverToCountryCode,0000.0041.0012.0010.0026.0001,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode,,,,
112,2,C,BG-16,Payment instructions,,0..*,$.invoice.paymentInstructions,0000.0043,/Invoice/cac:PaymentMeans,,,,
113,3,A,BT-81,Payment means type code,Code,1..1,$.invoice.paymentInstructions.paymentMeansTypeCode,0000.0043.0002,/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode,,,,
114,3,A,BT-82,Payment means text,Text,0..1,$.invoice.paymentInstructions.paymentMeansText,0000.0043.0002.@name,/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode/@name,,,,
115,3,A,BT-83,Payment remittance information,Text,0..1,$.invoice.paymentInstructions.paymentRemittanceInformation,0000.0043.0007,/Invoice/cac:PaymentMeans/cbc:PaymentID,,,,
116,3,C,BG-17,Credit transfer,,0..*,$.invoice.paymentInstructions.creditTransfer,0000.0043.0010,/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount,,,,
117,4,A,BT-84,Payment account identifier,Identifier,0..1,$.invoice.paymentInstructions.creditTransfer.paymentAccountIdentifier,0000.0043.0010.0001,/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID,,,,
118,4,A,BT-85,Payment account name,Text,0..1,$.invoice.paymentInstructions.creditTransfer.paymentAccountName,0000.0043.0010.0002,/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name,,,,
119,4,A,BT-86,Payment service provider identifier,Identifier,0..1,$.invoice.paymentInstructions.creditTransfer.paymentServiceProviderIdentifier,0000.0043.0010.0008.0001,/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID,,,,
120,3,C,BG-18,Payment card information,,0..1,$.invoice.paymentInstructions.paymentCardInformation,0000.0043.0008,/Invoice/cac:PaymentMeans/cac:CardAccount,,,,
121,4,A,BT-87,Payment card primary account number,Identifier,1..1,$.invoice.paymentInstructions.paymentCardInformation.paymentCardPrimaryAccountNumber,0000.0043.0008.0001,/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID,,,,
122,4,A,BT-88,Payment card holder name,Text,0..1,$.invoice.paymentInstructions.paymentCardInformation.paymentCardHolderName,0000.0043.0008.0011,/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:HolderName,,,,
123,3,C,BG-19,Direct debit,,0..1,$.invoice.paymentInstructions.directDebit,0000.0043,/Invoice/cac:PaymentMeans,,,,
124,4,A,BT-89,Mandate reference identifier,Identifier,0..1,$.invoice.paymentInstructions.directDebit.mandateReferenceIdentifier,0000.0043.0012.0001,/Invoice/cac:PaymentMeans/cac:PaymentMandate/cbc:ID,,,,
125,4,A,BT-90,Bank assigned creditor identifier,Identifier,0..1,$.invoice.paymentInstructions.directDebit.bankAssignedCreditorIdentifier,0000.0035.0004.0007.0001,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID,,,,
126,4,A,BT-91,Debited account identifier,Identifier,0..1,$.invoice.paymentInstructions.directDebit.debitedAccountIdentifier,0000.0043.0012.0007.0001,/Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID,,,,
127,2,C,BG-20,Document level allowances,,0..*,$.invoice.documentLevelAllowances,0000.0046,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()],,,,
128,3,A,BT-92,Document level allowance amount,Amount,1..1,$.invoice.documentLevelAllowances.documentLevelAllowanceAmount,0000.0046.0008,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount,,,,
129,3,A,BT-93,Document level allowance base amount,Amount,0..1,$.invoice.documentLevelAllowances.documentLevelAllowanceBaseAmount,0000.0046.0009,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount,,,,
130,3,A,BT-94,Document level allowance percentage,Percentage,0..1,$.invoice.documentLevelAllowances.documentLevelAllowancePercentage,0000.0046.0005,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:MultiplierFactorNumeric,,,,
131,3,A,BT-95,Document level allowance VAT category code,Code,1..1,$.invoice.documentLevelAllowances.documentLevelAllowanceVatCategoryCode,0000.0046.0013.0001,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cbc:ID,,,,
132,3,A,BT-96,Document level allowance VAT rate,Percentage,0..1,$.invoice.documentLevelAllowances.documentLevelAllowanceVatRate,0000.0046.0013.0003,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cbc:Percent,,,,
