sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
210,0000.0003.0001.0002.0007.0001,5,5,A,,Identifier,Identifier,1..1,,"Project-defined Identifier in the Item Classification Identifier context, represented as Identifier.",en16931,Item Classification Identifier,BT-158,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.identifier,,,Identifier,ram:ClassCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification/ram:ClassCode,,,true,
211,0000.0003.0001.0002.0007.0001@listID,5,5,A,,Scheme identifier,Identifier,1..1,,"Project-defined Scheme identifier in the Item Classification Identifier context, represented as Identifier.",en16931,Item Classification Identifier,BT-158-1,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.schemeIdentifier,,,SchemeIdentifier,@listID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification/ram:ClassCode/@listID,,,true,
212,0000.0003.0001.0002.0007.0001@listVersionID,5,5,A,,Scheme version identifier,Identifier,0..1,,"Project-defined Scheme version identifier in the Item Classification Identifier context, represented as Identifier.",en16931,Item Classification Identifier,BT-158-2,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier.schemeVersionIdentifier,,,SchemeVersionIdentifier,@listVersionID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification/ram:ClassCode/@listVersionID,,,false,
213,0000.0003.0001.0002.0008.0001,4,4,A,,Item country of origin,Code,0..1,,"Project-defined Item country of origin in the Item information context, represented as Code.",en16931,Item information,BT-159,$.invoice.invoiceLine.itemInformation.itemCountryOfOrigin,,,ItemCountryOfOrigin,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:OriginTradeCountry/ram:ID,,,false,
214,0000.0003.0001.0002.0006,4,4,C,,Item attributes,,0..*,,"Project-defined Item attributes in the Item attribute context, represented as structured information.",en16931,Item attribute,BG-32,$.invoice.invoiceLine.itemInformation.itemAttributes,,,ItemAttributes,ram:ApplicableProductCharacteristic,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:ApplicableProductCharacteristic,,,false,
215,0000.0003.0001.0002.0006.0001,5,5,A,,Item attribute name,Text,1..1,,"Project-defined Item attribute name in the Item attribute context, represented as Text.",en16931,Item attribute,BT-160,$.invoice.invoiceLine.itemInformation.itemAttributes.itemAttributeName,,,ItemAttributeName,ram:Description,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:ApplicableProductCharacteristic/ram:Description,,,true,
216,0000.0003.0001.0002.0006.0002,5,5,A,,Item attribute value,Text,1..1,,"Project-defined Item attribute value in the Item attribute context, represented as Text.",en16931,Item attribute,BT-161,$.invoice.invoiceLine.itemInformation.itemAttributes.itemAttributeValue,,,ItemAttributeValue,ram:Value,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:ApplicableProductCharacteristic/ram:Value,,,true,
34,0000.0003.0002.0002.0002,3,3,C,,Seller Identifier,,0..*,,"Project-defined Seller Identifier in the Seller Identifier context, represented as structured information.",en16931,Seller Identifier,,$.invoice.seller.sellerIdentifier[schemeIdentifier],,,SellerIdentifier,ram:GlobalID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:GlobalID,,CII_IDENTIFIER_VARIANT_GLOBAL,false,
35,0000.0003.0002.0002.0002,4,4,A,,Identifier,Identifier,1..1,,"Project-defined Identifier in the Seller Identifier context, represented as Identifier.",en16931,Seller Identifier,BT-29,$.invoice.seller.sellerIdentifier[schemeIdentifier].identifier,,,SellerIdentifierIdentifier,.,.,,CII_IDENTIFIER_VARIANT_GLOBAL,true,
34,0000.0003.0002.0002.0001,3,3,C,,Seller Identifier,,0..*,,"Project-defined Seller Identifier in the Seller Identifier context, represented as structured information.",en16931,Seller Identifier,,$.invoice.seller.sellerIdentifier[not(schemeIdentifier)],,,SellerIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:ID,,CII_IDENTIFIER_VARIANT_LOCAL,false,
35,0000.0003.0002.0002.0001,4,4,A,,Identifier,Identifier,1..1,,"Project-defined Identifier in the Seller Identifier context, represented as Identifier.",en16931,Seller Identifier,BT-29,$.invoice.seller.sellerIdentifier[not(schemeIdentifier)].identifier,,,SellerIdentifierIdentifier,.,.,,CII_IDENTIFIER_VARIANT_LOCAL,true,
36,0000.0003.0002.0002.0002@schemeID,4,4,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Seller Identifier context, represented as Identifier.",en16931,Seller Identifier,BT-29-1,$.invoice.seller.sellerIdentifier[schemeIdentifier].schemeIdentifier,,,SellerIdentifierSchemeIdentifier,@schemeID,@schemeID,,,false,
59,0000.0003.0002.0003.0002,3,3,C,,Buyer Identifier,,0..*,,"Project-defined Buyer Identifier in the Buyer Identifier context, represented as structured information.",en16931,Buyer Identifier,,$.invoice.buyer.buyerIdentifier[schemeIdentifier],,,BuyerIdentifier,ram:GlobalID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:GlobalID,,CII_IDENTIFIER_VARIANT_GLOBAL,false,
60,0000.0003.0002.0003.0002,4,4,A,,Identifier,Identifier,1..1,,"Project-defined Identifier in the Buyer Identifier context, represented as Identifier.",en16931,Buyer Identifier,BT-46,$.invoice.buyer.buyerIdentifier[schemeIdentifier].identifier,,,BuyerIdentifierIdentifier,.,.,,CII_IDENTIFIER_VARIANT_GLOBAL,true,
