sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
13,en16931,2,A,,Purchase order reference,Identifier,0..1,,"An identifier of a referenced purchase order, issued by the Buyer.",,,BT-13,$.invoice.purchaseOrderReference,,Invoice,PurchaseOrderReference,/xbrli:xbrl/en:Invoice/en:PurchaseOrderReference
14,en16931,2,A,,Sales order reference,Identifier,0..1,,"An identifier of a referenced sales order, issued by the Seller.",,,BT-14,$.invoice.salesOrderReference,,Invoice,SalesOrderReference,/xbrli:xbrl/en:Invoice/en:SalesOrderReference
15,en16931,2,A,,Receiving advice reference,Identifier,0..1,,An identifier of a referenced receiving advice.,,,BT-15,$.invoice.receivingAdviceReference,,Invoice,ReceivingAdviceReference,/xbrli:xbrl/en:Invoice/en:ReceivingAdviceReference
16,en16931,2,A,,Despatch advice reference,Identifier,0..1,,An identifier of a referenced despatch advice. The identification of the call for,,,BT-16,$.invoice.despatchAdviceReference,,Invoice,DespatchAdviceReference,/xbrli:xbrl/en:Invoice/en:DespatchAdviceReference
17,en16931,2,A,,Tender or lot reference,Identifier,0..1,,"tender or lot the invoice relates to. An identifier for an object on which the invoice is based, given by the Seller. The identification scheme identifier of the Invoiced object identifier. A textual value that specifies where",,,BT-17,$.invoice.tenderOrLotReference,,Invoice,TenderOrLotReference,/xbrli:xbrl/en:Invoice/en:TenderOrLotReference
18,en16931,2,A,,Invoiced object identifier,Identifier,0..1,,"An identifier for an object on which the invoice is based, given by the Seller.",,,BT-18,$.invoice.invoicedObjectIdentifier,,Invoice,InvoicedObjectIdentifier,/xbrli:xbrl/en:Invoice/en:InvoicedObjectIdentifier
19,en16931,2,A,,Buyer accounting reference,Text,0..1,,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,,,BT-19,$.invoice.buyerAccountingReference,,Invoice,BuyerAccountingReference,/xbrli:xbrl/en:Invoice/en:BuyerAccountingReference
20,en16931,2,A,,Payment terms,Text,0..1,,A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties). A group of business terms providing,,,BT-20,$.invoice.paymentTerms,,Invoice,PaymentTerms,/xbrli:xbrl/en:Invoice/en:PaymentTerms
21,en16931,2,C,,Invoice note,,0..*,,"textual notes that are relevant for the invoice, together with an indication of the note subject.",,,BG-1,$.invoice.invoiceNote,,Invoice note,InvoiceInvoiceNote,/xbrli:xbrl/en:Invoice/en:InvoiceInvoiceNote
22,en16931,3,A,,Invoice note subject code,Code,0..1,,The subject of the textual note in BT-22. A textual note that gives,,,BT-21,$.invoice.invoiceNote.invoiceNoteSubjectCode,,Invoice note,InvoiceNoteSubjectCode,/xbrli:xbrl/en:Invoice/en:InvoiceInvoiceNote/en:InvoiceNoteSubjectCode
23,en16931,3,A,,Invoice note,Text,1..1,,unstructured information that is relevant to the Invoice as a whole. A group of business terms providing,,,BT-22,$.invoice.invoiceNote.invoiceNote,,Invoice note,InvoiceNoteInvoiceNote,/xbrli:xbrl/en:Invoice/en:InvoiceInvoiceNote/en:InvoiceNoteInvoiceNote
24,en16931,2,C,,Process control,,1..1,,information on the business process and rules applicable to the Invoice document. Identifies the business process,,,BG-2,$.invoice.processControl,,Process control,ProcessControl,/xbrli:xbrl/en:Invoice/en:ProcessControl
25,en16931,3,A,,Business process type,Identifier,0..1,,"context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way. An identification of the specification containing the total set of rules",,,BT-23,$.invoice.processControl.businessProcessType,,Process control,BusinessProcessType,/xbrli:xbrl/en:Invoice/en:ProcessControl/en:BusinessProcessType
26,en16931,3,A,,Specification identifier,Identifier,1..1,,"regarding semantic content, cardinalities and business rules to",,,BT-24,$.invoice.processControl.specificationIdentifier,,Process control,SpecificationIdentifier,/xbrli:xbrl/en:Invoice/en:ProcessControl/en:SpecificationIdentifier
27,en16931,2,C,,Preceding invoice reference,,0..*,,A group of business terms providing information on one or more preceding Invoices.,,,BG-3,$.invoice.precedingInvoiceReference,,Preceding invoice reference,InvoicePrecedingInvoiceReference,/xbrli:xbrl/en:Invoice/en:InvoicePrecedingInvoiceReference
28,en16931,3,A,,Preceding invoice reference,Identifier,1..1,,The identification of an Invoice that was previously sent by the Seller. The date when the Preceding,,,BT-25,$.invoice.precedingInvoiceReference.precedingInvoiceReference,,Preceding invoice reference,PrecedingInvoiceReferencePrecedingInvoiceReference,/xbrli:xbrl/en:Invoice/en:InvoicePrecedingInvoiceReference/en:PrecedingInvoiceReferencePrecedingInvoiceReference
29,en16931,3,A,,Preceding invoice issue date,Date,0..1,,Invoice was issued.,,,BT-26,$.invoice.precedingInvoiceReference.precedingInvoiceIssueDate,,Preceding invoice reference,PrecedingInvoiceIssueDate,/xbrli:xbrl/en:Invoice/en:InvoicePrecedingInvoiceReference/en:PrecedingInvoiceIssueDate
30,en16931,2,C,,Seller,,1..1,,A group of business terms providing information about the Seller. The full formal name by which the,,,BG-4,$.invoice.seller,,Seller,Seller,/xbrli:xbrl/en:Invoice/en:Seller
31,en16931,3,A,,Seller name,Text,1..1,,Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons. A name by which the Seller is,,,BT-27,$.invoice.seller.sellerName,,Seller,SellerName,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerName
32,en16931,3,A,,Seller trading name,Text,0..1,,Name under which the seller trades.,,,BT-28,$.invoice.seller.sellerTradingName,,Seller,SellerTradingName,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerTradingName
33,en16931,3,A,,Seller identifier,Identifier,0..*,,The identification scheme identifier of the Seller identifier. An identifier issued by an official,sellerIdentifier,,BT-29,$.invoice.seller.sellerIdentifier,,Seller,SellerIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerIdentifier
34,en16931,3,A,,Seller legal registration identifier,Identifier,0..1,,registrar that identifies the Seller as a legal entity or person. The identification scheme identifier of the Seller legal registration identifier. The Seller's VAT identifier (also known as Seller VAT identification,,,BT-30,$.invoice.seller.sellerLegalRegistrationIdentifier,,Seller,SellerLegalRegistrationIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerLegalRegistrationIdentifier
35,en16931,3,A,,Seller VAT identifier,Identifier,0..1,,number). The local identification (defined by the Seller’s address) of the Seller for tax purposes or a reference that enables the Seller to state his,,,BT-31,$.invoice.seller.sellerVatIdentifier,,Seller,SellerVatIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerVatIdentifier
36,en16931,3,A,,Seller tax registration identifier,Identifier,0..1,,registered tax status.,,,BT-32,$.invoice.seller.sellerTaxRegistrationIdentifier,,Seller,SellerTaxRegistrationIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerTaxRegistrationIdentifier
37,en16931,3,A,,Seller additional legal information,Text,0..1,,Additional legal information relevant for the Seller.,,,BT-33,$.invoice.seller.sellerAdditionalLegalInformation,,Seller,SellerAdditionalLegalInformation,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerAdditionalLegalInformation
38,en16931,3,A,,Seller electronic address,Identifier,0..1,,address to which the application level response to the invoice may be delivered. The identification scheme identifier of the Seller electronic address. A group of business terms providing,,,BT-34,$.invoice.seller.sellerElectronicAddress,,Seller,SellerElectronicAddress,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerElectronicAddress
39,en16931,3,C,,Seller postal address,,1..1,,information about the address of the Seller.,,,BG-5,$.invoice.seller.sellerPostalAddress,,Seller postal address,SellerPostalAddress,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress
40,en16931,4,A,,Seller address line 1,Text,0..1,,The main address line in an address. An additional address line in an,,,BT-35,$.invoice.seller.sellerPostalAddress.sellerAddressLine1,,Seller postal address,SellerAddressLine1,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerAddressLine1
41,en16931,4,A,,Seller address line 2,Text,0..1,,address that can be used to give further details supplementing the main line. An additional address line in an,,,BT-36,$.invoice.seller.sellerPostalAddress.sellerAddressLine2,,Seller postal address,SellerAddressLine2,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerAddressLine2
42,en16931,4,A,,Seller address line 3,Text,0..1,,"address that can be used to give further details supplementing the main line. The common name of the city, town",,,BT-162,$.invoice.seller.sellerPostalAddress.sellerAddressLine3,,Seller postal address,SellerAddressLine3,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerAddressLine3
43,en16931,4,A,,Seller city,Text,1..1,,"or village, where the Seller address is located. The identifier for an addressable",,,BT-37,$.invoice.seller.sellerPostalAddress.sellerCity,,Seller postal address,SellerCity,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerCity
44,en16931,4,A,,Seller post code,Text,1..1,,group of properties according to the relevant postal service.,,,BT-38,$.invoice.seller.sellerPostalAddress.sellerPostCode,,Seller postal address,SellerPostCode,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerPostCode
45,en16931,4,A,,Seller country subdivision,Text,0..1,,The subdivision of a country.,,,BT-39,$.invoice.seller.sellerPostalAddress.sellerCountrySubdivision,,Seller postal address,SellerCountrySubdivision,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerCountrySubdivision
46,en16931,4,A,,Seller country code,Code,1..1,,A group of business terms providing contact information about the Seller.,,,BT-40,$.invoice.seller.sellerPostalAddress.sellerCountryCode,,Seller postal address,SellerCountryCode,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerCountryCode
47,en16931,3,C,,Seller contact,,0..1,,A group of business terms providing contact information about the Seller.,,,BG-6,$.invoice.seller.sellerContact,,Seller contact,SellerContact,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerContact
48,en16931,4,A,,Seller contact point,Text,0..1,,A contact point for a legal entity or person.,,,BT-41,$.invoice.seller.sellerContact.sellerContactPoint,,Seller contact,SellerContactPoint,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerContact/en:SellerContactPoint
49,en16931,4,A,,Seller contact telephone number,Text,0..1,,A phone number for the contact point.,,,BT-42,$.invoice.seller.sellerContact.sellerContactTelephoneNumber,,Seller contact,SellerContactTelephoneNumber,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerContact/en:SellerContactTelephoneNumber
50,en16931,4,A,,Seller contact email address,Text,0..1,,A group of business terms providing information about the Buyer.,,,BT-43,$.invoice.seller.sellerContact.sellerContactEmailAddress,,Seller contact,SellerContactEmailAddress,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerContact/en:SellerContactEmailAddress
51,en16931,2,C,,Buyer,,1..1,,Buyer party information.,,,BG-7,$.invoice.buyer,,Buyer,Buyer,/xbrli:xbrl/en:Invoice/en:Buyer
52,en16931,3,A,,Buyer name,Text,1..1,,The full name of the Buyer. A name by which the Buyer is,,,BT-44,$.invoice.buyer.buyerName,,Buyer,BuyerName,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerName
53,en16931,3,A,,Buyer trading name,Text,0..1,,"known, other than Buyer name (also known as Business name). An identifier of the Buyer.",,,BT-45,$.invoice.buyer.buyerTradingName,,Buyer,BuyerTradingName,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerTradingName
54,en16931,3,A,,Buyer identifier,Identifier,0..*,,The identification scheme identifier,buyerIdentifier,,BT-46,$.invoice.buyer.buyerIdentifier,,Buyer,BuyerIdentifier,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerIdentifier
55,en16931,3,A,,Buyer legal registration identifier,Identifier,0..1,,An identifier issued by an official registrar that identifies the Buyer as a legal entity or person. The identification scheme identifier of the Buyer legal registration identifier.,,,BT-47,$.invoice.buyer.buyerLegalRegistrationIdentifier,,Buyer,BuyerLegalRegistrationIdentifier,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerLegalRegistrationIdentifier
56,en16931,3,A,,Buyer VAT identifier,Identifier,0..1,,The Buyer's VAT identifier (also known as Buyer VAT identification number). Identifies the Buyer's electronic,,,BT-48,$.invoice.buyer.buyerVatIdentifier,,Buyer,BuyerVatIdentifier,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerVatIdentifier
57,en16931,3,A,,Buyer electronic address,Identifier,0..1,,address to which the invoice is delivered. The identification scheme identifier of the Buyer electronic address. A group of business terms providing,,,BT-49,$.invoice.buyer.buyerElectronicAddress,,Buyer,BuyerElectronicAddress,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerElectronicAddress
58,en16931,3,C,,Buyer postal address,,1..1,,information about the postal address for the Buyer.,,,BG-8,$.invoice.buyer.buyerPostalAddress,,Buyer postal address,BuyerPostalAddress,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress
59,en16931,4,A,,Buyer address line 1,Text,0..1,,The main address line in an address. An additional address line in an,,,BT-50,$.invoice.buyer.buyerPostalAddress.buyerAddressLine1,,Buyer postal address,BuyerAddressLine1,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerAddressLine1
60,en16931,4,A,,Buyer address line 2,Text,0..1,,address that can be used to give,,,BT-51,$.invoice.buyer.buyerPostalAddress.buyerAddressLine2,,Buyer postal address,BuyerAddressLine2,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerAddressLine2
61,en16931,4,A,,Buyer address line 3,Text,0..1,,"address that can be used to give further details supplementing the main line. The common name of the city, town",,,BT-163,$.invoice.buyer.buyerPostalAddress.buyerAddressLine3,,Buyer postal address,BuyerAddressLine3,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerAddressLine3
62,en16931,4,A,,Buyer city,Text,1..1,,"or village, where the Buyer's address is located. The identifier for an addressable",,,BT-52,$.invoice.buyer.buyerPostalAddress.buyerCity,,Buyer postal address,BuyerCity,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerCity
63,en16931,4,A,,Buyer post code,Text,1..1,,group of properties according to the relevant postal service.,,,BT-53,$.invoice.buyer.buyerPostalAddress.buyerPostCode,,Buyer postal address,BuyerPostCode,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerPostCode
64,en16931,4,A,,Buyer country subdivision,Text,0..1,,The subdivision of a country.,,,BT-54,$.invoice.buyer.buyerPostalAddress.buyerCountrySubdivision,,Buyer postal address,BuyerCountrySubdivision,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerCountrySubdivision
65,en16931,4,A,,Buyer country code,Code,1..1,,A code that identifies the country.,,,BT-55,$.invoice.buyer.buyerPostalAddress.buyerCountryCode,,Buyer postal address,BuyerCountryCode,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerCountryCode
66,en16931,3,C,,Buyer contact,,0..1,,A group of business terms providing contact information relevant for the Buyer. A contact point for a legal entity or,,,BG-9,$.invoice.buyer.buyerContact,,Buyer contact,BuyerContact,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerContact
67,en16931,4,A,,Buyer contact point,Text,0..1,,person. A phone number for the contact,,,BT-56,$.invoice.buyer.buyerContact.buyerContactPoint,,Buyer contact,BuyerContactPoint,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerContact/en:BuyerContactPoint
68,en16931,4,A,,Buyer contact telephone number,Text,0..1,,point.,,,BT-57,$.invoice.buyer.buyerContact.buyerContactTelephoneNumber,,Buyer contact,BuyerContactTelephoneNumber,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerContact/en:BuyerContactTelephoneNumber
69,en16931,4,A,,Buyer contact email address,Text,0..1,,An e-mail address for the contact point.,,,BT-58,$.invoice.buyer.buyerContact.buyerContactEmailAddress,,Buyer contact,BuyerContactEmailAddress,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerContact/en:BuyerContactEmailAddress
70,en16931,2,C,,Payee,,0..1,,"information about the Payee, i.e. the role that receives the payment.",,,BG-10,$.invoice.payee,,Payee,Payee,/xbrli:xbrl/en:Invoice/en:Payee
71,en16931,3,A,,Payee name,Text,1..1,,The name of the Payee. An identifier for the Payee.,,,BT-59,$.invoice.payee.payeeName,,Payee,PayeeName,/xbrli:xbrl/en:Invoice/en:Payee/en:PayeeName
72,en16931,3,A,,Payee identifier,Identifier,0..1,,The identification scheme identifier of the Payee identifier. An identifier issued by an official registrar that identifies the Payee as,,,BT-60,$.invoice.payee.payeeIdentifier,,Payee,PayeeIdentifier,/xbrli:xbrl/en:Invoice/en:Payee/en:PayeeIdentifier
73,en16931,3,A,,Payee legal registration identifier,Identifier,0..1,,a legal entity or person. The identification scheme identifier of the Payee legal registration identifier. A group of business terms providing,,,BT-61,$.invoice.payee.payeeLegalRegistrationIdentifier,,Payee,PayeeLegalRegistrationIdentifier,/xbrli:xbrl/en:Invoice/en:Payee/en:PayeeLegalRegistrationIdentifier
74,en16931,2,C,,Seller tax representative party,,0..1,,information about the Seller's tax representative. The full name of the Seller's tax,,,BG-11,$.invoice.sellerTaxRepresentativeParty,,Seller tax representative party,SellerTaxRepresentativeParty,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty
75,en16931,3,A,,Seller tax representative name,Text,1..1,,The full name of the Seller's tax representative party.,,,BT-62,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeName,,Seller tax representative party,SellerTaxRepresentativeName,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativeName
76,en16931,3,A,,Seller tax representative VAT identifier,Identifier,1..1,,The VAT identifier of the Seller's tax representative party. A group of business terms providing,,,BT-63,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeVatIdentifier,,Seller tax representative party,SellerTaxRepresentativeVatIdentifier,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativeVatIdentifier
77,en16931,3,C,,Seller tax representative postal address,,1..1,,information about the postal address for the tax representative party.,,,BG-12,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress,,Seller tax representative postal address,SellerTaxRepresentativePostalAddress,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress
78,en16931,4,A,,Tax representative address line 1,Text,0..1,,The main address line in an address. An additional address line in an,,,BT-64,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine1,,Seller tax representative postal address,TaxRepresentativeAddressLine1,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress/en:TaxRepresentativeAddressLine1
79,en16931,4,A,,Tax representative address line 2,Text,0..1,,address that can be used to give further details supplementing the main line. An additional address line in an,,,BT-65,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine2,,Seller tax representative postal address,TaxRepresentativeAddressLine2,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress/en:TaxRepresentativeAddressLine2
80,en16931,4,A,,Tax representative address line 3,Text,0..1,,"address that can be used to give further details supplementing the main line. The common name of the city, town",,,BT-164,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine3,,Seller tax representative postal address,TaxRepresentativeAddressLine3,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress/en:TaxRepresentativeAddressLine3
81,en16931,4,A,,Tax representative city,Text,0..1,,"or village, where the tax representative address is located. The identifier for an addressable",,,BT-66,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCity,,Seller tax representative postal address,TaxRepresentativeCity,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress/en:TaxRepresentativeCity
82,en16931,4,A,,Tax representative post code,Text,0..1,,group of properties according to the relevant postal service.,,,BT-67,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativePostCode,,Seller tax representative postal address,TaxRepresentativePostCode,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress/en:TaxRepresentativePostCode
83,en16931,4,A,,Tax representative country subdivision,Text,0..1,,The subdivision of a country.,,,BT-68,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountrySubdivision,,Seller tax representative postal address,TaxRepresentativeCountrySubdivision,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress/en:TaxRepresentativeCountrySubdivision
84,en16931,4,A,,Tax representative country code,Code,1..1,,A code that identifies the country. A group of business terms providing,,,BT-69,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountryCode,,Seller tax representative postal address,TaxRepresentativeCountryCode,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress/en:TaxRepresentativeCountryCode
85,en16931,2,C,,Delivery information,,0..1,,information about where and when the goods and services invoiced are delivered.,,,BG-13,$.invoice.deliveryInformation,,Delivery information,DeliveryInformation,/xbrli:xbrl/en:Invoice/en:DeliveryInformation
86,en16931,3,A,,Deliver to party name,Text,0..1,,The name of the party to which the goods and services are delivered.,,,BT-70,$.invoice.deliveryInformation.deliverToPartyName,,Delivery information,DeliverToPartyName,/xbrli:xbrl/en:Invoice/en:DeliveryInformation/en:DeliverToPartyName
87,en16931,3,A,,Deliver to location identifier,Identifier,0..1,,An identifier for the location at which the goods and services are delivered. The identification scheme identifier of the Deliver to location identifier. the date on which the supply of,,,BT-71,$.invoice.deliveryInformation.deliverToLocationIdentifier,,Delivery information,DeliverToLocationIdentifier,/xbrli:xbrl/en:Invoice/en:DeliveryInformation/en:DeliverToLocationIdentifier
88,en16931,3,A,,Actual delivery date,Date,0..1,,goods or services was made or completed. A group of business terms providing,,,BT-72,$.invoice.deliveryInformation.actualDeliveryDate,,Delivery information,ActualDeliveryDate,/xbrli:xbrl/en:Invoice/en:DeliveryInformation/en:ActualDeliveryDate
89,en16931,2,C,,Invoicing period,,0..1,,information on the invoice period. The date when the Invoice period,,,BG-14,$.invoice.invoicingPeriod,,Invoicing period,InvoicingPeriod,/xbrli:xbrl/en:Invoice/en:InvoicingPeriod
90,en16931,3,A,,Invoicing period start date,Date,0..1,,starts.,,,BT-73,$.invoice.invoicingPeriod.invoicingPeriodStartDate,,Invoicing period,InvoicingPeriodStartDate,/xbrli:xbrl/en:Invoice/en:InvoicingPeriod/en:InvoicingPeriodStartDate
91,en16931,3,A,,Invoicing period end date,Date,0..1,,The date when the Invoice period ends.,,,BT-74,$.invoice.invoicingPeriod.invoicingPeriodEndDate,,Invoicing period,InvoicingPeriodEndDate,/xbrli:xbrl/en:Invoice/en:InvoicingPeriod/en:InvoicingPeriodEndDate
92,en16931,3,C,,Deliver to address,,0..1,,information about the address to which goods and services invoiced were or are delivered.,,,BG-15,$.invoice.deliveryInformation.deliverToAddress,,Deliver to address,DeliverToAddress,/xbrli:xbrl/en:Invoice/en:InvoicingPeriod/en:DeliverToAddress
93,en16931,4,A,,Deliver to address line 1,Text,0..1,,The main address line in an address. An additional address line in an,,,BT-75,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine1,,Deliver to address,DeliverToAddressLine1,/xbrli:xbrl/en:Invoice/en:InvoicingPeriod/en:DeliverToAddress/en:DeliverToAddressLine1
94,en16931,4,A,,Deliver to address line 2,Text,0..1,,address that can be used to give further details supplementing the main line. An additional address line in an,,,BT-76,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine2,,Deliver to address,DeliverToAddressLine2,/xbrli:xbrl/en:Invoice/en:InvoicingPeriod/en:DeliverToAddress/en:DeliverToAddressLine2
95,en16931,4,A,,Deliver to address line 3,Text,0..1,,"address that can be used to give further details supplementing the main line. The common name of the city, town",,,BT-165,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine3,,Deliver to address,DeliverToAddressLine3,/xbrli:xbrl/en:Invoice/en:InvoicingPeriod/en:DeliverToAddress/en:DeliverToAddressLine3
96,en16931,4,A,,Deliver to city,Text,0..1,,"or village, where the deliver to address is located. The identifier for an addressable",,,BT-77,$.invoice.deliveryInformation.deliverToAddress.deliverToCity,,Deliver to address,DeliverToCity,/xbrli:xbrl/en:Invoice/en:InvoicingPeriod/en:DeliverToAddress/en:DeliverToCity
